title,type,release_year,age_certification,target
Jungle Book,MOVIE,1942,G,3
Henry V,MOVIE,1944,G,2
Libeled Lady,MOVIE,1936,G,3
Show Boat,MOVIE,1936,G,4
Blithe Spirit,MOVIE,1945,G,3
National Velvet,MOVIE,1945,G,2
Pygmalion,MOVIE,1939,G,4
In Which We Serve,MOVIE,1942,G,2
Shall We Dance,MOVIE,1937,G,3
Take Me Out to the Ball Game,MOVIE,1949,G,3
Pride and Prejudice,MOVIE,1940,G,2
Miracle on 34th Street,MOVIE,1947,G,4
She Wore a Yellow Ribbon,MOVIE,1949,G,3
The Front Page,MOVIE,1931,G,4
Downhill,MOVIE,1927,G,0
Orpheus,MOVIE,1950,G,2
That Hamilton Woman,MOVIE,1941,G,2
Of Mice and Men,MOVIE,1939,PG,2
49th Parallel,MOVIE,1941,G,0
The Circus,MOVIE,1928,G,3
Dragnet Girl,MOVIE,1933,G,2
The Private Life of Henry VIII,MOVIE,1933,G,4
The Flowers of St. Francis,MOVIE,1950,G,4
The Scarlet Pimpernel,MOVIE,1934,G,2
Brute Force,MOVIE,1947,G,0
Pépé le Moko,MOVIE,1937,G,2
Nanook of the North,MOVIE,1922,G,1
Paisan,MOVIE,1946,G,2
So This Is Paris,MOVIE,1926,G,3
Pandora's Box,MOVIE,1929,PG-13,2
Monsieur Verdoux,MOVIE,1947,G,4
The Long Voyage Home,MOVIE,1940,G,2
The Freshman,MOVIE,1925,G,3
"Ivan the Terrible, Part I",MOVIE,1944,G,2
Young Man with a Horn,MOVIE,1950,G,2
I Married a Witch,MOVIE,1942,G,3
Stromboli,MOVIE,1950,G,2
Without Love,MOVIE,1945,G,4
"Germany, Year Zero",MOVIE,1948,G,2
The Big House,MOVIE,1930,G,0
The Barkleys of Broadway,MOVIE,1949,G,3
Keeper of the Flame,MOVIE,1943,PG,2
A Day in the Country,MOVIE,1946,G,4
They Died with Their Boots On,MOVIE,1941,G,2
Tea for Two,MOVIE,1950,G,3
Speedy,MOVIE,1928,G,3
Girl Crazy,MOVIE,1943,G,3
My Dream Is Yours,MOVIE,1949,G,3
Lassie Come Home,MOVIE,1943,G,2
"The 47 Ronin, Part 1",MOVIE,1941,G,2
Carefree,MOVIE,1938,G,3
3 Godfathers,MOVIE,1948,G,2
The King of Kings,MOVIE,1927,G,2
The Four Feathers,MOVIE,1939,G,2
The Son of Kong,MOVIE,1933,G,3
A Story of Floating Weeds,MOVIE,1934,G,2
Five Came Back,MOVIE,1939,G,2
Fashions of 1934,MOVIE,1934,G,4
A Woman of Paris: A Drama of Fate,MOVIE,1923,G,2
People on Sunday,MOVIE,1930,G,4
One Foot in Heaven,MOVIE,1941,G,2
The Impossible Voyage,MOVIE,1904,G,3
Rembrandt,MOVIE,1936,G,2
Romance on the High Seas,MOVIE,1948,G,3
The Two Mrs. Carrolls,MOVIE,1947,G,0
The Emperor Jones,MOVIE,1933,G,2
The Kid Brother,MOVIE,1927,G,4
Jimmy the Gent,MOVIE,1934,G,4
The 3 Penny Opera,MOVIE,1931,G,4
For Heaven's Sake,MOVIE,1926,G,3
Honolulu,MOVIE,1939,G,3
The Seventh Veil,MOVIE,1945,G,2
I Shot Jesse James,MOVIE,1949,G,2
Special Agent,MOVIE,1935,G,2
The Horn Blows at Midnight,MOVIE,1945,G,3
A Dog's Life,MOVIE,1918,G,4
Black Gold,MOVIE,1947,G,2
The Immigrant,MOVIE,1917,G,3
Westfront 1918,MOVIE,1930,G,2
The Pilgrim,MOVIE,1923,G,3
The Idle Class,MOVIE,1921,G,3
A Damsel in Distress,MOVIE,1937,PG,3
Osaka Elegy,MOVIE,1936,G,4
Berlin: Symphony of a Great City,MOVIE,1927,G,1
Gentleman's Fate,MOVIE,1931,G,2
The Dark Horse,MOVIE,1932,G,3
The Gold Rush,MOVIE,1942,G,4
The Rise of Catherine the Great,MOVIE,1934,G,2
Shoulder Arms,MOVIE,1918,G,3
L'amore,MOVIE,1948,G,2
The Witch,MOVIE,1906,G,3
Intermezzo,MOVIE,1936,G,2
Winter Meeting,MOVIE,1948,G,2
The White Stadium,MOVIE,1928,G,1
Major Barbara,MOVIE,1941,G,3
Going Hollywood,MOVIE,1933,G,3
"The 47 Ronin, Part 2",MOVIE,1942,G,2
An Eastern Westerner,MOVIE,1920,G,3
Little Old New York,MOVIE,1923,G,3
I Cover the Waterfront,MOVIE,1933,G,2
A Day's Pleasure,MOVIE,1919,G,3
Pay Day,MOVIE,1922,G,3
Why Worry?,MOVIE,1923,G,3
Sunnyside,MOVIE,1919,G,3
Nice and Friendly,MOVIE,1922,G,3
A Night in the Show,MOVIE,1915,G,3
Never Weaken,MOVIE,1921,G,3
Comradeship,MOVIE,1931,G,2
Whimsical Illusions,MOVIE,1909,G,3
The Infernal Cauldron,MOVIE,1903,G,3
An Impossible Balancing Feat,MOVIE,1902,G,3
The Rink,MOVIE,1916,G,3
Master of the House,MOVIE,1925,G,4
The Olympic Games Held at Chamonix in 1924,MOVIE,1924,G,1
The Prince of Magicians,MOVIE,1901,G,3
The Return of Bulldog Drummond,MOVIE,1934,G,3
XIVth Olympiad: The Glory of Sport,MOVIE,1948,G,1
Kongo,MOVIE,1932,G,2
Dr. Jack,MOVIE,1922,G,3
Hell's Kitchen,MOVIE,1939,G,2
The Hilarious Posters,MOVIE,1906,G,3
Just Neighbors,MOVIE,1919,G,3
Return of the Scarlet Pimpernel,MOVIE,1937,G,2
The Olympic Games in Paris 1924,MOVIE,1925,G,1
Bumping Into Broadway,MOVIE,1919,G,3
The Marathon,MOVIE,1919,G,3
Captain Kidd's Kids,MOVIE,1919,G,3
His Royal Slyness,MOVIE,1920,G,3
Young Mr. Jazz,MOVIE,1919,G,3
"The Olympic Games, Amsterdam 1928",MOVIE,1928,G,1
The Olympic Games as They Were Practiced in Ancient Greece,MOVIE,1924,G,1
The IX Olympiad in Amsterdam,MOVIE,1928,G,1
High and Dizzy,MOVIE,1920,G,3
The Shining,MOVIE,1980,R,0
2001: A Space Odyssey,MOVIE,1968,G,3
Stalker,MOVIE,1979,G,2
Ben-Hur,MOVIE,1959,G,2
Willy Wonka & the Chocolate Factory,MOVIE,1971,G,3
"Scooby-Doo, Where Are You!",SHOW,1969,TV-G,3
Chinatown,MOVIE,1974,R,0
Singin' in the Rain,MOVIE,1952,G,3
Soylent Green,MOVIE,1973,PG,0
One Flew Over the Cuckoo's Nest,MOVIE,1975,R,2
Caddyshack,MOVIE,1980,R,3
A Clockwork Orange,MOVIE,1971,R,2
All the President's Men,MOVIE,1976,PG,0
Seven Samurai,MOVIE,1954,G,2
10,MOVIE,1979,R,3
American Gigolo,MOVIE,1980,R,0
Network,MOVIE,1976,R,2
West Side Story,MOVIE,1961,G,2
Dog Day Afternoon,MOVIE,1975,R,0
Eraserhead,MOVIE,1977,G,0
House,MOVIE,1977,G,3
North by Northwest,MOVIE,1959,G,0
The Flintstones,SHOW,1960,TV-G,3
Sesame Street,SHOW,1969,TV-Y,3
The Searchers,MOVIE,1956,G,2
The Jetsons,SHOW,1962,TV-G,3
Solaris,MOVIE,1972,PG,2
Breaking Away,MOVIE,1979,PG,4
Dirty Harry,MOVIE,1971,R,0
On the Waterfront,MOVIE,1954,G,0
The Last Detail,MOVIE,1973,R,4
"What's Up, Doc?",MOVIE,1972,G,3
Chitty Chitty Bang Bang,MOVIE,1968,G,3
The Outlaw Josey Wales,MOVIE,1976,PG,3
The Wild Bunch,MOVIE,1969,R,3
Five Easy Pieces,MOVIE,1970,R,2
High and Low,MOVIE,1963,G,0
In the Heat of the Night,MOVIE,1967,PG-13,0
Superman,MOVIE,1978,PG,2
Yojimbo,MOVIE,1961,G,0
Logan's Run,MOVIE,1976,PG,3
M*A*S*H,MOVIE,1970,R,4
Get Carter,MOVIE,1971,R,0
Rio Bravo,MOVIE,1959,G,2
The Brood,MOVIE,1979,R,3
Giant,MOVIE,1956,G,2
Saturday Night Fever,MOVIE,1977,R,2
The Long Good Friday,MOVIE,1980,R,0
The Man Who Would Be King,MOVIE,1975,PG,2
Fantastic Planet,MOVIE,1973,PG,3
8½,MOVIE,1963,G,2
THX 1138,MOVIE,1971,R,0
Watership Down,MOVIE,1978,PG,0
Night of the Living Dead,MOVIE,1968,G,0
Persona,MOVIE,1966,G,0
What Ever Happened to Baby Jane?,MOVIE,1962,G,0
Dressed to Kill,MOVIE,1980,R,0
Bonnie and Clyde,MOVIE,1967,R,2
A Streetcar Named Desire,MOVIE,1951,PG,2
Le Samouraï,MOVIE,1967,PG,0
The Dirty Dozen,MOVIE,1967,G,3
High Anxiety,MOVIE,1977,PG,3
The Battle of Algiers,MOVIE,1966,G,2
Grey Gardens,MOVIE,1976,PG,4
Tokyo Story,MOVIE,1953,G,2
Seven Brides for Seven Brothers,MOVIE,1954,G,4
The Seventh Seal,MOVIE,1957,G,0
Breathless,MOVIE,1960,G,2
Rebel Without a Cause,MOVIE,1955,PG-13,2
The Getaway,MOVIE,1972,PG,0
A Bridge Too Far,MOVIE,1977,PG,2
Ikiru,MOVIE,1952,G,2
The 400 Blows,MOVIE,1959,G,2
Throne of Blood,MOVIE,1957,G,2
A Hard Day's Night,MOVIE,1964,G,1
Picnic at Hanging Rock,MOVIE,1975,PG,0
The Umbrellas of Cherbourg,MOVIE,1964,PG-13,2
Red Beard,MOVIE,1965,G,2
Wonder Woman,SHOW,1975,TV-PG,2
Carnival of Souls,MOVIE,1962,G,3
A Woman Under the Influence,MOVIE,1974,R,2
Alice Doesn't Live Here Anymore,MOVIE,1974,PG,2
The Wages of Fear,MOVIE,1953,PG-13,0
Fame,MOVIE,1980,R,2
Eyes Without a Face,MOVIE,1960,G,0
Good Morning,MOVIE,1959,G,4
Around the World in Eighty Days,MOVIE,1956,G,3
Lord of the Flies,MOVIE,1963,PG-13,0
Mikey and Nicky,MOVIE,1976,R,2
A Star Is Born,MOVIE,1976,R,2
The Hidden Fortress,MOVIE,1958,G,4
An American in Paris,MOVIE,1951,G,4
Summertime,MOVIE,1955,G,4
North Dallas Forty,MOVIE,1979,R,4
Mon Oncle,MOVIE,1958,G,3
Elevator to the Gallows,MOVIE,1958,G,0
Shaft,MOVIE,1971,R,0
Belle de Jour,MOVIE,1967,R,2
The Blob,MOVIE,1958,G,3
F for Fake,MOVIE,1973,PG,1
Magnum Force,MOVIE,1973,R,0
Godzilla,MOVIE,1954,G,0
A Star Is Born,MOVIE,1954,PG,2
Every Which Way but Loose,MOVIE,1978,PG,4
Superman II,MOVIE,1980,PG,3
An Autumn Afternoon,MOVIE,1962,G,2
Camelot,MOVIE,1967,G,4
Diabolique,MOVIE,1955,G,0
Super Friends,SHOW,1973,TV-Y7,3
Gigi,MOVIE,1958,G,4
"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",MOVIE,1976,G,2
Daisies,MOVIE,1966,G,3
Pather Panchali,MOVIE,1955,G,2
Lady Snowblood,MOVIE,1973,G,0
Wild Strawberries,MOVIE,1957,G,2
The Young Girls of Rochefort,MOVIE,1967,G,4
Sisters,MOVIE,1973,R,0
Chimes at Midnight,MOVIE,1965,G,4
La Strada,MOVIE,1954,G,2
Scenes from a Marriage,MOVIE,1974,PG,2
Cléo from 5 to 7,MOVIE,1962,G,4
Floating Weeds,MOVIE,1959,G,2
Brewster McCloud,MOVIE,1970,R,3
Amarcord,MOVIE,1973,R,4
Cries and Whispers,MOVIE,1972,R,2
Brigadoon,MOVIE,1954,G,3
Night and Fog,MOVIE,1955,G,1
The Frisco Kid,MOVIE,1979,PG,4
The Flight of the Phoenix,MOVIE,1965,G,2
The Great Race,MOVIE,1965,G,3
Z,MOVIE,1969,G,0
Girlfriends,MOVIE,1978,PG,4
Onibaba,MOVIE,1964,NC-17,0
Through a Glass Darkly,MOVIE,1961,G,2
L'Avventura,MOVIE,1960,G,2
Jules and Jim,MOVIE,1962,G,2
Love in the Afternoon,MOVIE,1957,G,4
Gimme Shelter,MOVIE,1970,R,1
Dont Look Back,MOVIE,1967,G,1
Kwaidan,MOVIE,1964,G,2
Harlan County U.S.A.,MOVIE,1977,PG,1
La Notte,MOVIE,1961,G,2
Ali: Fear Eats the Soul,MOVIE,1974,G,2
Ugetsu,MOVIE,1953,G,2
Breaker Morant,MOVIE,1980,PG,2
The Last Wave,MOVIE,1977,PG,0
Early Summer,MOVIE,1951,G,2
"War and Peace, Part I: Andrei Bolkonsky",MOVIE,1966,G,2
Tom Jones,MOVIE,1963,G,4
A Patch of Blue,MOVIE,1965,G,2
Jubilee,MOVIE,1978,G,4
The End of Summer,MOVIE,1961,G,2
Summer of '42,MOVIE,1971,PG,4
Faces,MOVIE,1968,PG-13,2
Black Orpheus,MOVIE,1959,PG,2
The Killing of a Chinese Bookie,MOVIE,1976,R,0
Autumn Sonata,MOVIE,1978,PG,2
The Night Porter,MOVIE,1974,R,2
My Night at Maud's,MOVIE,1969,G,4
Weekend,MOVIE,1967,R,4
Super Fly,MOVIE,1972,R,0
Wanda,MOVIE,1971,PG,2
"The Long, Hot Summer",MOVIE,1958,G,2
The Enforcer,MOVIE,1976,R,0
The World of Apu,MOVIE,1959,PG-13,2
Fast Company,MOVIE,1979,R,2
The Drowning Pool,MOVIE,1975,PG,0
The Yogi Bear Show,SHOW,1961,TV-G,3
Quadrophenia,MOVIE,1979,R,2
Knife in the Water,MOVIE,1962,G,0
George Carlin: Again!,MOVIE,1978,G,1
Doctor Dolittle,MOVIE,1967,G,3
Opening Night,MOVIE,1977,PG-13,2
Aparajito,MOVIE,1956,G,2
Monsieur Hulot's Holiday,MOVIE,1953,G,3
The Shooting,MOVIE,1966,G,3
Vivre Sa Vie,MOVIE,1962,G,2
Tokyo Twilight,MOVIE,1957,R,2
Red Desert,MOVIE,1964,G,2
Shock Corridor,MOVIE,1963,G,0
Limelight,MOVIE,1952,G,2
The Bitter Tears of Petra von Kant,MOVIE,1972,G,2
The Tin Drum,MOVIE,1979,R,2
Lone Wolf and Cub: Sword of Vengeance,MOVIE,1972,G,2
Multiple Maniacs,MOVIE,1970,G,3
Godzilla vs. Mechagodzilla,MOVIE,1974,G,3
Early Spring,MOVIE,1956,G,2
Seance on a Wet Afternoon,MOVIE,1964,G,0
The Cranes Are Flying,MOVIE,1957,G,2
Samurai I: Musashi Miyamoto,MOVIE,1954,G,2
Monterey Pop,MOVIE,1968,G,1
Fox and His Friends,MOVIE,1975,G,2
Sweet Bird of Youth,MOVIE,1962,G,2
The Nun's Story,MOVIE,1959,G,2
Dodes'ka-den,MOVIE,1970,G,2
The Earrings of Madame de...,MOVIE,1953,G,2
Ashes and Diamonds,MOVIE,1958,G,2
Shoot the Piano Player,MOVIE,1960,G,0
The Ruling Class,MOVIE,1972,PG,4
Salesman,MOVIE,1969,G,1
My Brilliant Career,MOVIE,1979,G,2
Masculin Féminin,MOVIE,1966,G,2
Journey to Italy,MOVIE,1954,G,2
Richard III,MOVIE,1955,G,2
Scooby-Doo and Scrappy-Doo,SHOW,1979,TV-G,3
Mothra vs. Godzilla,MOVIE,1964,G,3
Black Girl,MOVIE,1966,G,2
Godzilla vs. Gigan,MOVIE,1972,PG,3
Divorce Italian Style,MOVIE,1961,G,4
Wise Blood,MOVIE,1979,PG,4
The Shop on Main Street,MOVIE,1965,PG,2
I Vitelloni,MOVIE,1953,G,4
A Taste of Honey,MOVIE,1961,G,2
Inside Daisy Clover,MOVIE,1965,G,2
The Honeymoon Killers,MOVIE,1970,R,0
Julie,MOVIE,1956,G,0
The Naked Kiss,MOVIE,1964,G,2
The Marriage of Maria Braun,MOVIE,1979,R,2
Shadows,MOVIE,1959,PG,2
...And God Created Woman,MOVIE,1956,PG,2
Children of the Damned,MOVIE,1964,G,2
The Machine That Kills Bad People,MOVIE,1952,G,3
Senso,MOVIE,1954,G,2
Destroy All Monsters,MOVIE,1968,G,0
"Godzilla, King of the Monsters!",MOVIE,1956,G,3
"The World, the Flesh and the Devil",MOVIE,1959,PG,2
Hearts and Minds,MOVIE,1975,R,1
News from Home,MOVIE,1977,G,1
The River,MOVIE,1951,G,2
Godzilla vs. Hedorah,MOVIE,1971,PG,3
The Red Balloon,MOVIE,1956,G,3
Happiness,MOVIE,1965,G,2
The Last Metro,MOVIE,1980,PG,2
The Trial of Joan of Arc,MOVIE,1963,G,2
Equinox Flower,MOVIE,1958,G,4
Mr. Arkadin,MOVIE,1955,PG,0
Victim,MOVIE,1961,G,0
Godzilla vs. Megalon,MOVIE,1973,G,3
Cleopatra Jones,MOVIE,1973,R,0
Equinox,MOVIE,1970,PG,3
Godzilla Raids Again,MOVIE,1955,G,3
Ringo and His Golden Pistol,MOVIE,1966,G,2
The Big City,MOVIE,1963,G,2
Love in the Afternoon,MOVIE,1972,R,4
"Ghidorah, the Three-Headed Monster",MOVIE,1964,G,3
Bells Are Ringing,MOVIE,1960,G,3
Umberto D.,MOVIE,1952,G,2
"One Sings, the Other Doesn't",MOVIE,1977,G,2
Lola Montès,MOVIE,1955,G,2
PT 109,MOVIE,1963,G,2
The Hero,MOVIE,1966,G,2
Designing Woman,MOVIE,1957,G,3
Two English Girls,MOVIE,1971,G,2
The Immortal Story,MOVIE,1968,G,2
Travels with My Aunt,MOVIE,1972,PG,3
Touki Bouki,MOVIE,1973,G,2
Lone Wolf and Cub: Baby Cart at the River Styx,MOVIE,1972,G,2
The Music Room,MOVIE,1958,G,2
The Opposite Sex,MOVIE,1956,G,3
Tokyo Olympiad,MOVIE,1965,G,1
2 or 3 Things I Know About Her,MOVIE,1967,G,4
Cleopatra Jones and the Casino of Gold,MOVIE,1975,R,2
Rodan,MOVIE,1956,PG,2
Late Autumn,MOVIE,1960,G,4
Sunday in New York,MOVIE,1963,G,3
Boys' Night Out,MOVIE,1962,G,3
Juliet of the Spirits,MOVIE,1965,G,4
Permanent Vacation,MOVIE,1980,G,4
Primary,MOVIE,1960,G,1
Samurai III: Duel at Ganryu Island,MOVIE,1956,G,2
Hanzo the Razor: Sword of Justice,MOVIE,1972,G,2
"War and Peace, Part II: Natasha Rostova",MOVIE,1966,G,2
The War of the Gargantuas,MOVIE,1966,G,3
"Je, Tu, Il, Elle",MOVIE,1976,G,2
"Ivan the Terrible, Part II: The Boyars' Plot",MOVIE,1958,G,2
La Pointe-Courte,MOVIE,1955,G,2
Lady Snowblood 2: Love Song of Vengeance,MOVIE,1974,G,0
My American Uncle,MOVIE,1980,PG,4
Son of Godzilla,MOVIE,1967,PG,3
Look Back in Anger,MOVIE,1959,G,2
All Monsters Attack,MOVIE,1969,G,3
Invasion of Astro-Monster,MOVIE,1965,G,3
"Ebirah, Horror of the Deep",MOVIE,1966,PG,4
Samurai II: Duel at Ichijoji Temple,MOVIE,1955,G,2
Greased Lightning,MOVIE,1977,PG,4
Europe '51,MOVIE,1952,G,2
The Soft Skin,MOVIE,1964,G,2
Aquaman,SHOW,1967,TV-Y,3
The Entertainer,MOVIE,1960,G,2
Hobson's Choice,MOVIE,1954,PG,4
The Murder of Fred Hampton,MOVIE,1971,G,1
The Arrangement,MOVIE,1969,R,2
The Wings of Eagles,MOVIE,1957,G,2
"War and Peace, Part III: The Year 1812",MOVIE,1967,G,2
Merrill's Marauders,MOVIE,1962,G,2
Charulata,MOVIE,1964,G,2
Eva,MOVIE,1962,PG,2
Terror of Mechagodzilla,MOVIE,1975,G,2
"War and Peace, Part IV: Pierre Bezukhov",MOVIE,1967,G,2
Sawdust and Tinsel,MOVIE,1953,G,2
Hanzo the Razor: The Snare,MOVIE,1973,G,2
Symbiopsychotaxiplasm: Take One,MOVIE,1968,R,1
Crisis: Behind a Presidential Commitment,MOVIE,1963,G,1
On Moonlight Bay,MOVIE,1951,G,3
The Coward,MOVIE,1965,G,2
The Rite,MOVIE,1969,G,2
Carol for Another Christmas,MOVIE,1964,G,2
Lone Wolf and Cub: Baby Cart in the Land of Demons,MOVIE,1973,G,0
Black Panthers,MOVIE,1968,G,1
Lone Wolf and Cub: Baby Cart to Hades,MOVIE,1972,PG,2
Kill!,MOVIE,1968,G,4
Beau Brummell,MOVIE,1954,G,2
Paul Robeson: Tribute to an Artist,MOVIE,1979,G,1
Hanzo the Razor: Who's Got the Gold?,MOVIE,1974,G,2
The Grand Olympics,MOVIE,1961,G,1
Lone Wolf and Cub: White Heaven in Hell,MOVIE,1974,G,2
The Lost Honor of Katharina Blum,MOVIE,1975,R,2
A King in New York,MOVIE,1957,G,4
The X from Outer Space,MOVIE,1967,PG,3
Death of a Scoundrel,MOVIE,1956,G,2
The Olympics in Mexico,MOVIE,1969,G,1
John Paul Jones,MOVIE,1959,G,2
The Holy Man,MOVIE,1965,G,4
First Man into Space,MOVIE,1959,G,2
The Urban Crisis and the New Militants Module 4 - The People’s Right to Know: Police vs. Reporters,MOVIE,1968,G,3
The Urban Crisis and the New Militants Module 3 - Law and Order vs. Dissent,MOVIE,1968,G,3
Satan's Brew,MOVIE,1976,G,4
Time Without Pity,MOVIE,1957,G,2
Lone Wolf and Cub: Baby Cart in Peril,MOVIE,1972,G,0
The Elephant God,MOVIE,1979,G,0
Cicero March,MOVIE,1966,G,1
The Urban Crisis and the New Militants Module 2 - Social Confrontation: The Battle of Michigan Ave.,MOVIE,1968,G,3
American Revolution 2,MOVIE,1969,G,1
The Urban Crisis and the New Militants Module 1 - The Right to Dissent: A Press Conference,MOVIE,1968,G,3
The Urban Crisis and the New Militants: Module 5 - Police Power and Freedom of Assembly: The Gregory March,MOVIE,1968,G,3
"IX Olympic Winter Games, Innsbruck 1964",MOVIE,1964,G,1
Sapporo Winter Olympics,MOVIE,1972,G,1
Games of the XXI Olympiad,MOVIE,1977,G,1
"The VI Olympic Winter Games, Oslo 1952",MOVIE,1952,G,1
GoodFellas,MOVIE,1990,R,2
Batman,MOVIE,1989,PG-13,3
Beetlejuice,MOVIE,1988,PG,3
Dirty Dancing,MOVIE,1987,PG-13,2
Moonstruck,MOVIE,1987,PG-13,4
Full House,SHOW,1987,TV-G,4
When Harry Met Sally...,MOVIE,1989,R,4
Little Shop of Horrors,MOVIE,1986,PG-13,3
Teenage Mutant Ninja Turtles,MOVIE,1990,PG,3
Romancing the Stone,MOVIE,1984,PG,3
Krull,MOVIE,1983,PG,3
Top Secret!,MOVIE,1984,PG,3
Say Anything...,MOVIE,1989,PG-13,4
My Neighbor Totoro,MOVIE,1988,G,3
A Nightmare on Elm Street,MOVIE,1984,R,3
The Untouchables,MOVIE,1987,R,0
Peggy Sue Got Married,MOVIE,1986,PG-13,4
The Fresh Prince of Bel-Air,SHOW,1990,TV-PG,4
The Dead Zone,MOVIE,1983,R,0
St. Elmo's Fire,MOVIE,1985,R,4
Blood Simple,MOVIE,1984,R,0
"Paris, Texas",MOVIE,1984,R,2
Broadcast News,MOVIE,1987,R,4
Tootsie,MOVIE,1982,PG,4
Diner,MOVIE,1982,R,4
Dances with Wolves,MOVIE,1990,PG-13,2
The Big Chill,MOVIE,1983,R,4
Poltergeist,MOVIE,1982,PG,0
The Color Purple,MOVIE,1985,PG-13,2
Scanners,MOVIE,1981,R,0
Wall Street,MOVIE,1987,R,2
Time Bandits,MOVIE,1981,PG,3
Mad Max 2: The Road Warrior,MOVIE,1981,R,0
Police Story,MOVIE,1985,PG-13,0
Rain Man,MOVIE,1988,R,2
Joe Versus the Volcano,MOVIE,1990,PG,3
Gremlins,MOVIE,1984,PG,3
Fatal Attraction,MOVIE,1987,R,0
Days of Thunder,MOVIE,1990,PG-13,2
Pump Up the Volume,MOVIE,1990,R,4
The Dark Crystal,MOVIE,1982,PG,3
Risky Business,MOVIE,1983,R,4
Family Matters,SHOW,1989,TV-G,4
The Right Stuff,MOVIE,1983,PG,2
My Dinner with Andre,MOVIE,1981,PG,4
Lethal Weapon,MOVIE,1987,R,0
The Last Dragon,MOVIE,1985,PG-13,4
Masters of the Universe,MOVIE,1987,PG,0
Tampopo,MOVIE,1985,G,3
Kiki's Delivery Service,MOVIE,1989,G,2
Clash of the Titans,MOVIE,1981,PG,3
Presumed Innocent,MOVIE,1990,R,3
Back to School,MOVIE,1986,PG-13,3
Withnail & I,MOVIE,1987,R,4
The Pee-wee Herman Show,MOVIE,1981,G,3
Coming to America,MOVIE,1988,R,3
Stephen King's It,MOVIE,1990,PG-13,0
Roxanne,MOVIE,1987,PG,3
Iron Eagle,MOVIE,1986,PG-13,0
The Witches of Eastwick,MOVIE,1987,R,3
The Smurfs,SHOW,1981,TV-Y,3
Killer Klowns from Outer Space,MOVIE,1988,PG-13,3
Red Sonja,MOVIE,1985,PG-13,3
Arthur,MOVIE,1981,PG,3
The Hitcher,MOVIE,1986,R,0
Nausicaä of the Valley of the Wind,MOVIE,1984,PG,3
Wings of Desire,MOVIE,1987,PG-13,2
A Nightmare on Elm Street 3: Dream Warriors,MOVIE,1987,R,0
At Close Range,MOVIE,1986,R,0
A Room with a View,MOVIE,1985,G,2
2010,MOVIE,1984,PG,0
My Blue Heaven,MOVIE,1990,PG-13,4
The Ice Pirates,MOVIE,1984,PG,3
Pale Rider,MOVIE,1985,R,2
Castle in the Sky,MOVIE,1986,PG,2
The Last Emperor,MOVIE,1987,PG-13,2
Gremlins 2: The New Batch,MOVIE,1990,PG-13,3
All Dogs Go to Heaven,MOVIE,1989,G,4
The Jewel of the Nile,MOVIE,1985,PG,3
